*,SP
로잔동물병원,"서울특별시 송파구 석촌호수로 188 (석촌동,신동아로쟌뷰 1층(114호))"
서울동물병원,"서울특별시 송파구 송이로32길 16 (문정동,지상2층)"
두리동물병원,"서울특별시 송파구 성내천로 229, 1층 (마천동)"
알프스 동물병원,
내사랑 동물병원,
솔로몬동물병원,서울특별시 송파구 마천로 76 (오금동)
리오동물병원,"서울특별시 송파구 올림픽로 435, 상가동 1층 36호 (신천동, 파크리오)"
튼튼동물병원,"서울특별시 송파구 토성로 30-1 (풍납동,지상1층)"
꿈이 크는 동물병원,"서울특별시 송파구 백제고분로 115 (잠실동, 그린빌딩1층)"
에코동물병원,"서울특별시 송파구 동남로 161, 1층 2호 (가락동, 현대빌리지)"
참 동물병원,서울특별시 송파구 석촌호수로 74 (잠실동)
한양종합동물병원,"서울특별시 송파구 가락로 162, 1층 (송파동)"
스킨앤이어동물병원,"서울특별시 송파구 송파대로 474, 성정빌딩 1층 (송파동)"
갤러리아동물병원,"서울특별시 송파구 올림픽로 212, 상가동 124호 (잠실동, 갤러리아팰리스)"
연 동물병원,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 A동 2층 9,10호 (잠실동)"
24시송파서울동물병원,"서울특별시 강서구 가로공원로80길 6, 2층 2호 (화곡동, 태영아트빌)"
웰니스동물병원,"서울특별시 송파구 충민로 10, 가든파이브툴 지하1층 (문정동)"
서울동물의료원,"서울특별시 송파구 백제고분로 195 (삼전동,지상1층)"
강남종합동물병원,서울특별시 송파구 오금로 168 (송파동)
더 동물병원,"서울특별시 송파구 동남로 202 (가락동,광성빌딩106호)"
잠실초이 동물병원,"서울특별시 송파구 올림픽로 212 (잠실동,갤러리아팰리스상가내 지하1층136-11호)"
봄빛 동물병원,"서울특별시 송파구 송이로 171, 상아빌딩 1층 (가락동)"
쿨펫 월드점 동물병원,"서울특별시 송파구 올림픽로 240, 2층 (잠실동, 롯데마트)"
유앤동물의료원,"서울특별시 송파구 양재대로 1148, 왕천빌딩 1층 (오금동)"
이리온 동물의료원,서울특별시 송파구 오금로 182 (송파동)
아미동물병원,서울특별시 송파구 백제고분로 131 (잠실동)
이동훈동물병원,서울특별시 송파구 백제고분로46길 27 (송파동)
잠실VIP동물병원,서울특별시 송파구 석촌호수로 188 (석촌동)
청담동물병원,"서울특별시 송파구 토성로 30-1, 1층 1호 (풍납동)"
이룸동물병원,"서울특별시 송파구 삼학사로 44, 보라빌딩 (석촌동)"
오금동물병원,"서울특별시 송파구 오금로 306, 1층 7호 (가락동, 가락스타클래스)"
하군이네 동물병원,"서울특별시 송파구 송이로32길 19, 1층 (문정동)"
리센츠 스타 동물병원,"서울특별시 송파구 올림픽로 145, 리센츠 상가동 1층 C13,C14호 (잠실동)"
오즈동물병원,서울특별시 송파구 강동대로 300 (방이동)
치치동물병원,"서울특별시 송파구 충민로2길 36, 1층 102호 (장지동, 해오름 빌딩)"
24시잠실ON동물의료센터,"서울특별시 송파구 올림픽로 76, J타워 202호 (잠실동)"
에이스종합동물병원,"서울특별시 송파구 올림픽로 435, A동 4층 5호 (신천동, 파크리오상가)"
킴리동물병원,"서울특별시 송파구 올림픽로35길 94, 신천동동 내제2층층 203호 (신천동, 장미3차맨션)"
석촌동물병원,"서울특별시 송파구 송파대로 441, 청호빌딩 1층 2호 (석촌동)"
라임동물병원,"서울특별시 송파구 가락로 258, 세림빌딩 1층 (방이동)"
잠실베스트동물메디컬센터,"서울특별시 송파구 삼학사로 88, 금보 1층 (석촌동)"
문정탑동물병원,"서울특별시 송파구 송이로 186, 상가동 1호 (문정동, 성해아파트)"
행복한 우리아이 동물병원,"서울특별시 송파구 석촌호수로 146, 1층 (삼전동)"
펫가든동물병원 월드타워점,"서울특별시 송파구 올림픽로 300, 지하1층 (신천동, 롯데마트 엔터테인먼트)"
꿈이크는 동물병원,"서울특별시 송파구 백제고분로 115, 그린빌딩 1층 (잠실동)"
온마음 동물메디컬센터,"서울특별시 송파구 오금로 473, 정림빌딩 1층 (거여동)"
청담동물병원,서울특별시 송파구 토성로 30-1 (풍납동)
위즈펫동물병원 잠실점,"서울특별시 송파구 올림픽로35가길 16, B15호 (신천동, 홈플러스잠실점)"
KAVSC동물병원,"서울특별시 송파구 충민로 66, 라이프동 6층 T6045호 (문정동, 가든파이브라이프)"
오금동물병원,"서울특별시 송파구 오금로 306, 107호 (가락동, 가락스타클래스)"
키다리동물병원,"서울특별시 송파구 새말로 62, 송파 푸르지오시티 상가동 101호 (문정동)"
위즈펫동물병원,"서울특별시 송파구 올림픽로35가길 16, B16호 (신천동, 홈플러스잠실점)"
위례동물병원,"서울특별시 송파구 위례광장로 136, 5동 E117호 (장지동, 위례아이파크)"
바우동물병원,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 2동 108호 (신천동)"
송파바로동물병원,"서울특별시 송파구 새말로 125, 어은회관 (문정동)"
송파스마일동물병원,서울특별시 송파구 새말로5길 17 (문정동)
마루동물병원,"서울특별시 송파구 양산로4길 13, 우토 파크빌딩 (거여동)"
송파원동물병원,"서울특별시 송파구 백제고분로 432, 2층 (송파동)"
신천동물병원,"서울특별시 송파구 석촌호수로 108, 리치빌딩 1층 (잠실동)"
송파데일리동물병원,"서울특별시 송파구 법원로 55, 송파아이파크 1층 E204호 (문정동)"
잘키움행동치료동물병원,"서울특별시 송파구 오금로 147, 2층 (방이동)"
웰니스동물병원(롯데월드점),"서울특별시 송파구 올림픽로 240, 롯데월드 1층 S-911호 (잠실동)"
위례S동물의료센터,"서울특별시 송파구 위례광장로 200, 에스비트램스퀘어 203,204호 (장지동)"
닥터캣 고양이병원,"서울특별시 송파구 백제고분로 293, 제우빌딩 2층 202호 (석촌동)"
더오동물병원,"서울특별시 송파구 송파대로 567, 상가동 1층 106호 (잠실동, 잠실주공아파트)"
잠실베스트동물병원 수술재활센터,"서울특별시 송파구 삼학사로 88, 금보 2층 (석촌동)"
웰니스동물병원(롯데월드점),"서울특별시 송파구 올림픽로 240, 롯데월드 1층 S-911호 (잠실동)"
샤인동물메디컬센터,서울특별시 송파구 송파대로 450 (송파동)
문정힐스 동물병원,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 상가동 1층 120,121호 (문정동)"
헬릭스동물메디컬센터 송파분원,"서울특별시 송파구 삼전로 56, 청목빌딩 (삼전동)"
온마음 동물메디컬센터,"서울특별시 송파구 오금로 473, 정림빌딩 (거여동)"
헬리오동물병원,"서울특별시 송파구 송파대로 345, 3B동 28,29호 (가락동, 헬리오시티)"
라온펫동물병원,"서울특별시 송파구 가락로 140, 아이앤비빌딩 2층 201호 (송파동)"
채움동물의료센터,"서울특별시 송파구 동남로 282, 재상빌딩 1층 (오금동)"
동물병원알루,"서울특별시 송파구 법원로4길 6, 문정아이파크 128-9호 (문정동)"
도그마루 동물병원,"서울특별시 송파구 석촌호수로 104, 1층 (잠실동)"
