*,SD,*,JN,*,NW,*,DJ,*,SP,*,SC,*,DB,*,DD,*,GA,*,YC,*,GB,*,SB,*,JG,*,JR,*,SM,*,GN,*,YS,*,GS,*,EP,*,MP,*,GJ,*,GR,*,GC,*,GD,*,YD
박종태종합동물병원,서울특별시 성동구 장터길 18 (금호동4가),평창동물병원,서울특별시 종로구 세검정로 313 (평창동),은빛동물병원,"서울특별시 노원구 동일로 1649 (상계동, 윤일빌딩)",사당동물병원,서울특별시 동작구 남부순환로 2051 (사당동),오주동물병원,"서울특별시 송파구 마천로 264, 흥일빌딩 (거여동)",서이동물병원,"서울특별시 서초구 사임당로 139, 104호 (서초동)",도담동물병원,서울특별시 도봉구 도봉로 875 (도봉동),애니케어동물병원,서울특별시 동대문구 이문로 80 (이문동),관악동물병원,,대현동물병원,서울특별시 양천구 목동중앙본로 113 (목동),현대종합동물병원,서울특별시 강북구 노해로 94 (수유동),이솝동물병원,,청구동물병원,,하스펫탈동물병원,서울특별시 중랑구 면목로 437 (면목동),홍제동물병원,서울특별시 서대문구 통일로 463 (홍제동),충현동물병원,서울특별시 강남구 논현로 621 (논현동),이상윤동물병원,,박동물병원,"서울특별시 강서구 강서로 294, 106호 (내발산동)",녹번동물병원,서울특별시 은평구 통일로 697 (녹번동),용강동물병원,서울특별시 마포구 대흥로 48 (대흥동),광진종합동물병원,,갤러리아동물병원,,시흥가축병원,,광나루동물병원,서울특별시 강동구 올림픽로 800 (암사동),참 동물병원,서울특별시 영등포구 영등포로76길 1 (신길동)
성동동물병원,,성현동물병원,서울특별시 종로구 혜화로 11 (명륜1가),은마로동물병원,"서울특별시 노원구 한글비석로 363, 종로약국 (중계동)",세진동물병원,,펫토피아동물병원,"서울특별시 송파구 오금로 203, 남양빌딩 (방이동)",신반포종합동물병원,서울특별시 서초구 서초중앙로 245 (반포동),두남자동물병원,서울특별시 도봉구 방학로 37 (방학동),푸른종합동물병원,"서울특별시 동대문구 홍릉로 48-1, 1층 (청량리동)",서울대부속동물병원,,애완동물병원,,솔샘동물병원,"서울특별시 강북구 솔샘로 267, 2층203호 (미아동, 삼양빌딩)",다나동물병원,서울특별시 성북구 화랑로 301 (장위동),미래지동물의료센터,"서울특별시 중구 다산로 107, 2층 (신당동)",신내동물병원,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)",하나동물병원,,Dog&Cat 동물병원,,열린동물종합병원,"서울특별시 용산구 원효로 171, 신영빌딩 (원효로2가)",고득영동물병원,"서울특별시 강서구 곰달래로 199 (화곡동, 고득영동물병원)",예종합동물,,디엔씨동물병원,서울특별시 마포구 신촌로 154 (노고산동),동서울동물병원,서울특별시 광진구 아차산로 493 (광장동),가교25시동물병원,,조정연동물병원,서울특별시 금천구 금하로 679 (시흥동),페토피아동물병원,서울특별시 강동구 양재대로 1299 (성내동),강쥐생각동물병원,"서울특별시 영등포구 영신로 22-2 (영등포동,1층)"
퍼스트펫동물병원,,올리브동물병원,서울특별시 종로구 자하문로 305 (홍지동),그린동물병원,"서울특별시 노원구 노원로 540 (상계동, 상계주공아파트 9단지상가)",인동물병원,,석촌동물병원,,우리들의동물병원,"서울특별시 서초구 사임당로 99 (서초동,1층)",가나동물병원,서울특별시 도봉구 방학로 162 (방학동),장평25시동물종합병원,서울특별시 동대문구 장한로 139 (장안동),정우동물병원,서울특별시 관악구 신림로 138 (신림동),양천종합동물병원,서울특별시 양천구 오목로 45 (신월동),애니케어 동물병원 수유점,서울특별시 강북구 삼양로 499 (수유동),서울종합동물병원,서울특별시 성북구 보문로 137 (보문동2가),제일동물병원,,제일동물병원,,한수24동물병원,,현대동물병원,"서울특별시 강남구 압구정로 134 (신사동,타워(빌)104호)",보광동물병원,서울특별시 용산구 보광로 22-1 (보광동),우장동물병원,"서울특별시 강서구 화곡로 143 (화곡동, 충효빌딩)",역촌동물병원,,박재용동물병원,,제원동물병원,,케이나인종합동물병원,서울특별시 구로구 개봉로 40 (개봉동),그린동물병원,서울특별시 금천구 독산로 272 (독산동),가나동물병원,서울특별시 강동구 고덕로 101 (암사동),우신종합동물병원,서울특별시 영등포구 신길로 168 (신길동)
생명사랑동물병원,"서울특별시 성동구 독서당로 206 (옥수동,2층)",평창동물병원,서울특별시 종로구 평창문화로 31 (평창동),고려동물병원,"서울특별시 노원구 덕릉로 738 (상계동, 정진145빌딩)",가나안동물병원,,에이스동물병원,서울특별시 송파구 중대로 206 (가락동),레스펫동물병원,"서울특별시 서초구 논현로 173, 동리빌딩 1층 (양재동)",(주)모리아동물생명 아야야동물병원,"서울특별시 도봉구 도봉로 759 (도봉동,1층)",안암동물병원,"서울특별시 동대문구 안암로 40, 1층 (용두동)",세계로동물병원,,이솝동물병원,서울특별시 양천구 목동동로8길 7 (신정동),시티동물병원,서울특별시 강북구 솔샘로 223 (미아동),베스트종합동물병원,서울특별시 성북구 동소문로 36 (동소문동3가),Zoo동물병원,,협동가축진료소,,햇살동물병원,,양재동물병원,서울특별시 강남구 남부순환로 2627 (도곡동),펫토이동물병원,,발산종합동물병원,서울특별시 강서구 강서로 237 (화곡동),오거리동물병원,"서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)",월드펫동물병원,서울특별시 마포구 신촌로 248 (아현동),자양동물병원,,우리동물종합병원,"서울특별시 구로구 고척로 238 (고척동,하이리빙(아)1층3호)",금천동물병원,서울특별시 금천구 독산로 188 (독산동),명성동물병원,서울특별시 강동구 양재대로 1601 (천호동),초이동물병원,
강아지나라동물병원,서울특별시 성동구 금호산길 63-1 (금호동2가),우리동물병원,서울특별시 종로구 지봉로 96-3 (숭인동),화랑동물병원,서울특별시 노원구 화랑로 473 (공릉동),흑석애니피스동물병원,,김민재동물병원,서울특별시 송파구 동남로 318 (오금동),마이펫동물병원,"서울특별시 서초구 사평대로 130 (반포동,1층 가호)",동물병원 WITH,"서울특별시 도봉구 도봉로 568, 1층 (창동, 태진빌딩)",주주동물병원,서울특별시 동대문구 사가정로 121 (전농동),한빛동물병원,,가나동물병원,"서울특별시 양천구 목동서로 35 (목동,목동프라자 105)",가나안동물병원,서울특별시 강북구 인수봉로 152 (수유동),북악동물병원,,충정동물병원,"서울특별시 중구 중림로 10 (중림동,삼성사이버빌리지 상가 2동 1층 103-1호)",진정훈동물병원,"서울특별시 중랑구 동일로 777, 진정훈동물병원 (중화동)",재원동물병원,,자연동물병원,서울특별시 강남구 개포로 260 (개포동),한사랑동물병원,,강서동물병원,"서울특별시 강서구 곰달래로15길 46 (화곡동, 강서동물병원)",LOVE MY PET 동물병원,서울특별시 은평구 은평로 208 (응암동),아프리카동물병원,,킴스동물종합병원,서울특별시 광진구 면목로 117 (중곡동),신도림동물병원,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 101동 139호 (신도림동)",파랑새동물병원,서울특별시 금천구 시흥대로 276 (독산동),다래동물병원,서울특별시 강동구 구천면로 289 (천호동),두암동물병원,서울특별시 영등포구 도림로 153 (대림동)
성수동물병원,서울특별시 성동구 왕십리로 100 (성수동1가),누리봄동물병원,서울특별시 종로구 사직로12길 2 (내자동),미래동물병원,서울특별시 노원구 공릉로 168 (공릉동),성민동물병원,,워리동물병원,,노아동물병원,,사랑동물병원,"서울특별시 도봉구 도봉로 678 (방학동,1층)",휘경동물병원,,내사랑동물병원,,나우동물종합병원,"서울특별시 양천구 목동중앙본로 10 (목동,극동상가 103)",강북동물병원,서울특별시 강북구 삼양로 601 (우이동),대학동물병원,서울특별시 성북구 화랑로 309 (장위동),차지우동물병원,"서울특별시 중구 동호로 204, 청화빌딩 1층 (신당동)",성지동물병원,서울특별시 중랑구 면목로 311 (면목동),신영동물병원,서울특별시 서대문구 통일로 489 (홍은동),백산동물병원,서울특별시 강남구 봉은사로 463 (삼성동),세하동물병원,,등촌동물병원,,미래동물병원,서울특별시 은평구 서오릉로 192 (갈현동),다솔동물병원,,시민동물병원,서울특별시 광진구 자양로 94 (자양동),토토동물병원,"서울특별시 구로구 경인로59길 7 (신도림동,대림6차상가 109)",우리동물병원,서울특별시 금천구 독산로 348 (독산동),쥬라기동물병원,서울특별시 강동구 올림픽로 703 (천호동),우리동물병원,서울특별시 영등포구 여의대방로68길 15 (여의도동)
한사랑동물병원,,효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동),우리들동물종합병원,"서울특별시 노원구 동일로 1280, 116호 (중계동, 시영2단지상가)",김용각동물병원,"서울특별시 동작구 성대로11길 46, 1층 (상도동)",박경호동물병원,서울특별시 송파구 올림픽로 362 (방이동),방배종합동물병원,서울특별시 서초구 동광로 75 (방배동),수호천사동물병원,"서울특별시 도봉구 마들로 645 (방학동,1층)",현대종합동물병원,서울특별시 동대문구 답십리로 293 (장안동),서울동물병원,서울특별시 관악구 신림로 233 (신림동),민병철동물병원,서울특별시 양천구 남부순환로 347 (신월동),초이스동물병원,서울특별시 강북구 삼양로117길 5 (수유동),청솔동물병원,,행복한둥지동물병원,,행복이있는동물병원,"서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)",차지우동물병원,,청실동물병원,"서울특별시 강남구 남부순환로 2917 (대치동,청실상가 120)",원효종합동물병원,서울특별시 용산구 원효로 187 (원효로2가),미래동물병원,"서울특별시 강서구 강서로 45 (화곡동, 미래동물병원)",신동물병원,,홍익동물종합병원,서울특별시 마포구 독막로 45 (합정동),피카소동물병원,서울특별시 광진구 광나루로 392-1 (화양동),구로종합동물병원,서울특별시 구로구 구로동로 159 (구로동),다사랑동물종합병원,,성심동물종합병원,,한국동물병원,서울특별시 영등포구 여의대방로 201 (신길동)
내친구동물병원,,효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동),동물나라동물병원,,디아크동물종합병원,,서울동물병원,,마리오동물병원,,현대종합동물병원,"서울특별시 도봉구 도봉로 669, 1층 (방학동)",다솜종합동물병원,"서울특별시 동대문구 전농로 15-3, 1층 (답십리동)",닥터엠동물병원,,바우동물병원,서울특별시 양천구 중앙로 230 (신정동),사랑의동물병원,"서울특별시 강북구 솔샘로 174 (미아동, sk주상가 209호)",강북동물병원,서울특별시 성북구 종암로 65 (종암동),웰펫동물병원,서울특별시 중구 동호로 178 (신당동),하나동물병원,,라파엘종합동물병원,서울특별시 서대문구 연희로 132 (연희동),중부가축병원,,용마종합동물병원,,염창제일동물병원,"서울특별시 강서구 양천로 651, 1층 (염창동)",더독동물병원,서울특별시 은평구 서오릉로 140 (대조동),아현종합동물병원,,용마동물병원,서울특별시 광진구 용마산로 66 (중곡동),해피동물병원,서울특별시 구로구 중앙로 67 (고척동),쿨펫동물병원,서울특별시 금천구 시흥대로 201 (시흥동),사랑이있는동물병원,서울특별시 강동구 구천면로 446 (명일동),제일동물병원,
아이러브 팻 동물병원,,효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동),수락동물병원,서울특별시 노원구 동일로 1622 (상계동),나라동물병원,"서울특별시 동작구 사당로 284, 1층 (사당동)",위드펫종합동물병원,"서울특별시 송파구 백제고분로 161, 성선빌딩 (잠실동)",라파엘동물병원,서울특별시 서초구 강남대로 525-3 (반포동),온누리동물병원,"서울특별시 도봉구 시루봉로 59 (쌍문동,1층)",VIP동물의료센터,서울특별시 동대문구 답십리로 298 (장안동),나은동물종합병원,,황경택동물병원,,대형동물병원,서울특별시 강북구 삼양로 504 (수유동),펫케어동물병원,,백슬동물병원,"서울특별시 중구 만리재로 177, 105호 (만리동2가, 서울역한라비발디센트럴)",금란동물병원,"서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)",프란다스동물병원,"서울특별시 서대문구 거북골로 120 (남가좌동, DMC센트레빌아파트)",일마레동물메디컬센터,서울특별시 강남구 도산대로 514 (청담동),ANYPET동물병원,서울특별시 용산구 회나무로 9 (이태원동),송정종합동물병원,"서울특별시 강서구 공항대로 19 (공항동, 송정동물병원)",유종합동물병원,,망원동물종합병원,서울특별시 마포구 월드컵로 65 (망원동),알프스동물병원,,구일동물병원,"서울특별시 구로구 구일로8길 92 (구로동,중앙하이츠상가 118호)",금나래동물병원,"서울특별시 금천구 벚꽃로 30, 211호 (독산동, 금천롯데캐슬골드파크2차)",꼭지동물병원,,성모종합동물병원,
강아지나라동물병원,서울특별시 성동구 금호산길 63-1 (금호동2가),효자동물병원,서울특별시 종로구 자하문로 66-2 (효자동),당고개동물병원,서울특별시 노원구 덕릉로 810-1 (상계동),하나사랑동물병원,"서울특별시 동작구 상도로 171, 1층 (상도동)",25시동물병원,"서울특별시 강남구 봉은사로72길 33, 101동 8층 1호 (삼성동, 영무예다음)",한강동물병원,"서울특별시 서초구 신반포로 49 (반포동,반포상가 M-16호)",양현철동물병원,서울특별시 도봉구 방학로 37 (방학동),태양종합동물병원,,양지동물병원,"서울특별시 관악구 남부순환로191길 10, 1층 (봉천동)",목동동물병원,"서울특별시 양천구 목동서로 57 (목동,현대파리지앙 121호)",창문동물병원,서울특별시 강북구 월계로 35 (미아동),OK동물병원,,웰니스 클리닉(청계천점),"서울특별시 중구 청계천로 400, 지하2층 (황학동, 롯데캐슬베네치아)",24시 동물응급의료센터,"서울특별시 중랑구 망우로 247, 지하1층 (중화동, 로얄스포츠센터)",예일동물병원,,원동물병원,,퍼피119동물병원,,그랜드동물병원,,은평동물병원,서울특별시 은평구 서오릉로 80 (대조동),캣츠앤독스 동물병원,서울특별시 마포구 월드컵북로 151 (성산동),팻클럽동물병원,,24시 명 동물병원,서울특별시 구로구 고척로21길 13 (개봉동),노아동물병원,서울특별시 금천구 금하로 745 (시흥동),두루동물병원,서울특별시 강동구 구천면로 498-1 (명일동),조은동물병원,서울특별시 영등포구 시흥대로 649 (대림동)
