NAME,ADDRESS
알프스동물병원,"서울특별시 강남구 봉은사로 146 (역삼동,1층)"
닥터펫동물병원,
예은동물병원,"서울특별시 강남구 도곡로 189, 1,2층 (역삼동, 정금빌딩)"
스누피동물병원,"서울특별시 강남구 테헤란로64길 13, 106호 (대치동,풍림아이원레몬 상가)"
24시 OK 동물병원,"서울특별시 강남구 선릉로 338 (대치동,오성빌딩 1층 101호)"
닥터신 동물병원,"서울특별시 강남구 도산대로 425 (청담동,1층)"
학동24시동물병원,"서울특별시 강남구 학동로 165 (논현동,마일스디오빌 114,115호)"
서울가족동물병원,"서울특별시 강남구 도곡로 175 (역삼동,102호)"
개포동물병원,"서울특별시 강남구 개포로 512 (개포동, 개포종합상가 1층)"
그레이스 동물병원,"서울특별시 강남구 학동로6길 18, 1층 (논현동)"
닥터펫동물병원,서울특별시 강남구 선릉로 620 (삼성동)
하나동물병원,"서울특별시 강남구 영동대로 217 (대치동,백암빌딩 103)"
아지케어,"서울특별시 강남구 강남대로118길 53 (논현동,2층)"
충현동물병원,"서울특별시 강남구 논현로 621, 1~4층 (논현동)"
한 동물병원,서울특별시 강남구 논현로10길 14 (개포동)
일마레 동물 메디컬 센터,서울특별시 강남구 도산대로 514 (청담동)
역삼동물병원,"서울특별시 강남구 언주로 527, 1층 (역삼동, 강남텔레피아빌딩)"
늘푸른동물병원,"서울특별시 강남구 봉은사로 307 (논현동,이안논현빌딩 제103호)"
김봉석 동물병원,
닥터펫동물의료센터,"서울특별시 강남구 선릉로 620, 1층 (삼성동)"
이리온동물의료원(청담점),"서울특별시 강남구 도산대로 445, M빌딩 2층 (청담동)"
와이즈동물병원,서울특별시 강남구 강남대로128길 34 (논현동)
서울동물병원,"서울특별시 강남구 역삼로 412 (대치동,1층)"
홈케어 동물병원,"서울특별시 강남구 삼성로135길 41 (청담동,306호)"
나래동물병원,"서울특별시 강남구 도곡로13길 5 (역삼동,다양빌 1층)"
24시 페츠비동물병원,"서울특별시 강남구 도산대로 155 (신사동,외 1필지 (2층))"
메디포즈 동물의료센터,"서울특별시 강남구 역삼로 134 (역삼동,2층)"
강남동물병원,"서울특별시 강남구 봉은사로 205, 상하빌딩 1층 (논현동)"
중앙동물메디컬센터,"서울특별시 강남구 봉은사로 315, 미래빌딩 1~3층 (논현동)"
한국동물영상의학센터,서울특별시 강남구 선릉로 806 (청담동)
선릉동물병원,서울특별시 강남구 선릉로 528 (삼성동)
아크리스 동물의료센터,서울특별시 강남구 학동로 138 (논현동)
스마트동물병원,서울특별시 강남구 선릉로 418 (대치동)
마이펫동물의료센터,서울특별시 강남구 삼성로 573 (삼성동)
개포별빛동물병원,서울특별시 강남구 논현로 70 (개포동)
카디오 동물의료병원,서울특별시 강남구 강남대로118길 60 (논현동)
24시 신사동물병원,서울특별시 강남구 도산대로 138 (논현동)
이리온 동물의료원-대치점,서울특별시 강남구 삼성로 312 (대치동)
위너스 동물병원,서울특별시 강남구 역삼로 235 (역삼동)
위너스 동물병원,서울특별시 강남구 역삼로 235 (역삼동)
마이펫동물의료센터,서울특별시 강남구 삼성로 573 (삼성동)
츄츄 동물병원,서울특별시 강남구 논현로67길 56 (역삼동)
영동동물병원,서울특별시 강남구 강남대로 536 (논현동)
24시 OK동물병원,서울특별시 강남구 선릉로 338 (대치동)
루이스동물병원,서울특별시 강남구 테헤란로64길 13 (대치동)
가로수 동물병원,서울특별시 강남구 압구정로 134 (신사동)
카디오 동물의료병원,서울특별시 강남구 강남대로118길 60 (논현동)
하나동물병원,서울특별시 강남구 영동대로 217 (대치동)
와이즈24시 동물병원,서울특별시 강남구 학동로6길 7 (논현동)
백산동물병원,"서울특별시 강남구 논현로86길 22, 2층 (역삼동)"
도곡종합동물병원,서울특별시 강남구 언주로 314 (역삼동)
래이동물의료센터,서울특별시 강남구 남부순환로 2911-1 (대치동)
라온펫동물의료센터,"서울특별시 강남구 남부순환로 2912, 지하1층 110호 (대치동, 그랑프리엔상가)"
러브펫동물병원,서울특별시 강남구 선릉로100길 32 (삼성동)
24시 청담우리 동물병원,서울특별시 강남구 삼성로 614 (삼성동)
24시 닥터멍 동물병원,"서울특별시 강남구 논현로 515, 아승빌딩 (역삼동)"
다정동물병원,"서울특별시 강남구 학동로20길 39, 1층 (논현동)"
큐빌론동물병원,서울특별시 강남구 역삼로 149 (역삼동)
하나동물병원,서울특별시 강남구 영동대로 217 (대치동)
이안동물의학센터(청담점),"서울특별시 강남구 선릉로 806, 5층 (청담동)"
스마트 동물 외과 클리닉,"서울특별시 강남구 도산대로 지하 213, 1층 (신사동)"
스마트동물병원(신사본점),"서울특별시 강남구 도산대로 213, 1층 (신사동)"
닥터그레이동물병원,"서울특별시 강남구 남부순환로 2804 (도곡동, 아카데미스위트 A동 104호)"
오래오래동물병원,"서울특별시 강남구 도곡로37길 20 (역삼동, 1층,2층)"
대치성심동물병원,"서울특별시 강남구 남부순환로 2921, 1층 69-1호 (대치동)"
아이윌24시동물병원,"서울특별시 강남구 학동로 437, 지상1층 지하1층층 (청담동)"
아이윌24시동물병원,"서울특별시 강남구 학동로 437, 지상1층,지하1층 (청담동, 일부)"
봄동물병원,"서울특별시 강남구 도곡로 115, 지하1층,지상1,2층 (역삼동)"
페츠비동물의료센터,"서울특별시 강남구 도산대로 155, 1층 (신사동)"
마더스동물병원,"서울특별시 강남구 헌릉로 569 (세곡동, 강남리더스프라자 202-1호)"
이안동물진단센터,"서울특별시 강남구 개포로22길 14, 2층 (개포동)"
치료멍멍동물병원,"서울특별시 강남구 도산대로 309, 2층 (신사동)"
수정동물병원,"서울특별시 강남구 일원로14길 25, 상가동 102호 (일원동, 푸른마을아파트)"
이비치 동물치과병원,"서울특별시 강남구 선릉로 756, 2층 (청담동, 대성빌딩)"
봄동물병원,"서울특별시 강남구 도곡로 115, 거암빌딩 지하1층/지상1~2층 (역삼동)"
마더스동물병원,"서울특별시 강남구 헌릉로 569, 202-1호 (세곡동, 강남리더스프라자)"
