*,GS
마곡숲동물병원,"서울특별시 강서구 강서로 471, A동 1층 102호 (마곡동, 엠코지니어스타)"
쪼꼬동물병원,"서울특별시 강서구 마곡중앙로 36, 103호 (마곡동, 마곡엠밸리15단지)"
마곡나무 동물병원,"서울특별시 강서구 마곡중앙1로 72, 1014동 103호 (마곡동, 마곡엠밸리10단지)"
공감동물병원,"서울특별시 강서구 마곡중앙로 36, 상가동 103호 (마곡동, 마곡엠밸리15단지)"
올스타동물의료센터,"서울특별시 강서구 가로공원로 198, 1층 (화곡동, 청파빌딩)"
하트온동물병원,"서울특별시 강서구 곰달래로 260, 피앤와이빌딩 1층 3호 (화곡동)"
우장산 동물의료센터,"서울특별시 강서구 강서로 282, 1층 (내발산동)"
서서울동물병원,"서울특별시 강서구 양천로 674, 9,10호 (염창동)"
푸른들동물병원,"서울특별시 강서구 양천로 663-1, 1층 (염창동)"
참동물병원,"서울특별시 강서구 마곡서로 133, 712동 102-1호 (마곡동, 마곡엠밸리7단지)"
마곡M동물의료센터,"서울특별시 강서구 방화대로33길 3, 1~2층 (방화동)"
모모동물병원,"서울특별시 강서구 마곡중앙1로 20, 205호 (마곡동)"
차지우동물병원,"서울특별시 강서구 강서로62길 10, 한울빌딩 1층 (등촌동)"
