*,SC
아델 동물병원,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)"
동물제중원금손이 동물병원,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)"
한나동물병원,"서울특별시 서초구 방배로 269, 109호 (방배동)"
치료멍멍 동물의료센터,서울특별시 서초구 사평대로 68 (반포동)
서초힐스동물병원,서울특별시 서초구 태봉로2길 30 (우면동)
반포한강동물병원,"서울특별시 서초구 신반포로 49, M-16호 (반포동)"
헤이븐동물병원 방배서래점,서울특별시 서초구 방배로 232 (방배동)
아이비동물병원,"서울특별시 서초구 효령로 229, 108호 (서초동)"
헬릭스동물메디컬센터,"서울특별시 서초구 신반포로 162 (반포동, 르본시티 2층)"
에이원동물병원,"서울특별시 서초구 반포대로 89, 1층 (서초동, 유민빌딩)"
여울동물병원,"서울특별시 서초구 방배로 28, 1층 5호 (방배동, 덕산빌딩)"
VIP동물의료센터 서초동작점,"서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)"
서초M동물의료센터,"서울특별시 서초구 사임당로 78, 1층 (서초동, 유미원)"
다스림 양한방 동물병원,"서울특별시 서초구 효령로 347, 서광빌딩 101호 (서초동)"
이삭동물병원,"서울특별시 서초구 방배천로8길 34, 1층 (방배동)"
신세계동물병원,"서울특별시 서초구 신반포로 143, 경남쇼핑센터 1층 8호 (반포동)"
신세계 동물병원,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 143호 (반포동)"
아이비 동물병원,"서울특별시 서초구 효령로 229, 108호 (서초동)"
햇살아래 동물병원,"서울특별시 서초구 태봉로 62, 네이처프라자 203호 (우면동)"
심바동물병원,"서울특별시 서초구 서초대로4길 4, 대진빌딩 1층 (방배동)"
해뜨는 동물병원 해질녘책방,"서울특별시 서초구 신반포로 257, 뉴타운 지하1층 (잠원동)"
헤이븐동물병원,"서울특별시 서초구 동광로 15, 1층 (방배동)"
이을반려동물케어센터,"서울특별시 서초구 사평대로20길 3, 신화빌딩 1층 (반포동)"
도그스데이 동물병원,"서울특별시 서초구 강남대로12길 23-13, 엄지빌딩 1층 (양재동)"
V+care 동물병원,"서울특별시 서초구 강남대로79길 32, 제이디 빌딩 1층 (반포동)"
에이비씨(ABC)동물병원,"서울특별시 서초구 사임당로 151, 대한무지개종합상가 1층 103호 (서초동)"
서초이음동물병원,"서울특별시 서초구 효령로 347, 서광빌딩 1층 (서초동)"
서울종합동물병원방배,"서울특별시 서초구 방배로19길 19, 1층 (방배동)"
