,선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
103,박희수,SK,0,1,0,0,0,28,0,24.2,9.49,3.65,1.46,0.338,67.9,5.47,-0.05,4.65,4.36,0.11
104,이창재,KT,0,0,0,1,0,10,0,8,7.88,4.5,0,0.37,57.1,5.62,0.13,3.3,3.2,0.11
105,류희운,KT,0,1,0,0,0,7,0,8.1,7.56,4.32,1.08,0.448,48.2,10.8,-0.2,4.87,4.81,0.1
106,김대현,LG,4,0,0,3,3,33,0,32.1,7.79,6.4,1.67,0.316,70.3,5.85,0.35,6.37,6.41,0.09
107,송윤준,한화,0,0,0,1,0,26,0,23,6.26,5.09,0.39,0.301,73,4.3,0.41,4.55,4.68,0.09
108,손정욱,NC,0,0,0,0,0,16,0,12,3.75,3.75,0.75,0.341,68,5.25,0.09,5.3,5.63,0.09
109,윤성환,삼성,0,2,0,0,0,5,5,18.2,1.93,5.3,0,0.288,57.6,5.79,0.26,5.38,6,0.09
110,손동현,KT,0,0,0,1,0,23,0,20.1,5.31,4.43,2.21,0.258,70.8,5.31,0.66,6.9,7.05,0.08
111,박신지,두산,0,0,0,0,0,2,0,3,9,3,0,0.643,40,18,-0.19,2.55,2.26,0.05
112,홍정우,삼성,0,0,0,1,0,30,0,30,8.7,3.6,1.5,0.352,62.8,6.6,-0.11,5.09,4.91,0.05
113,김동혁,Hero,0,1,0,0,0,8,0,8.2,6.23,1.04,1.04,0.259,58.1,5.19,0.09,4.36,4.34,0.05
114,강동호,롯데,1,0,0,0,0,7,0,11.0,6.55,4.91,2.45,294,67.6,7.36,0.27,7.28,7.37,0.04
115,오주원,Hero,3,1,0,2,1,25,0,18.1,6.38,0.00,2.95,286,73.5,5.40,0.32,6.39,6.25,0.04
116,정용운,LG,0,0,0,0,0,3,0,1.2,16.20,5.40,0.00,600,25.0,16.20,-0.06,1.75,0.90,0.04
117,권오준,삼성,0,2,0,1,0,17,0,16.0,5.62,1.69,1.69,345,33.7,8.44,-0.41,5.30,5.30,0.04
118,윤희상,SK,0,0,0,0,0,4,1,3.0,6.00,6.00,0.00,143,66.7,3.00,0.12,4.22,4.37,0.03
119,이상동,KT,0,0,0,0,0,5,0,6.0,4.50,4.50,0.00,458,57.1,9.00,-0.07,4.05,4.27,0.03
120,이상화,KT,1,1,0,1,0,18,0,15.0,4.20,6.00,1.20,200,65.9,5.40,0.45,5.95,6.24,0.03
121,김대유,LG,0,0,0,0,0,3,0,2.1,3.86,3.86,0.00,455,14.3,23.14,0.03,5.27,5.84,0.03
122,이승헌,NC,0,0,0,0,0,3,0,2.0,9.00,4.50,4.50,333,83.3,9.00,0.02,11.05,11.32,0.02
123,강지광(투),SK,0,0,0,0,0,6,0,3.2,9.82,2.45,2.45,462,75.8,4.91,0.03,5.74,5.39,0.02
124,이승현,삼성,1,2,0,14,2,65,0,54.1,8.61,4.14,1.82,252,87.9,3.48,1.58,5.60,5.43,0.02
125,양창섭,삼성,0,0,0,0,0,7,0,6.2,5.40,4.05,1.35,263,92.1,2.70,0.23,5.20,5.27,0.01
126,채지선,두산,1,0,0,2,0,37,0,33.0,9.27,6.55,0.82,341,76.5,4.91,0.64,5.22,5.21,0.01
127,조성운,Hero,1,1,0,1,0,42,0,45.0,5.80,3.80,1.20,298,64.4,5.40,-0.02,5.33,5.44,0.01
128,한승혁,롯데,1,0,0,0,0,9,0,7.0,3.86,5.14,0.00,333,66.7,5.14,0.06,4.41,4.72,0.01
129,이선우,KT,0,0,0,0,0,2,0,2.0,4.50,4.50,4.50,500,71.4,13.50,0.02,10.55,10.86,0.01
130,윤규진,한화,0,0,0,0,0,2,0,3.2,9.82,2.45,2.45,462,45.5,7.36,-0.15,5.74,5.39,0.01
131,정대현,Hero,0,0,0,0,0,1,1,2.2,10.12,0.00,3.38,444,55.6,10.12,-0.09,6.18,5.69,0.01
132,차재용,Hero,0,0,0,0,0,1,0,1.0,0.00,0.00,0.00,0,-,0.00,0.03,3.55,3.96,0.01
